CITY,STATE,COUNTRY,GENDER,AGE,MARITAL_STATUS,PROFESSION,REPELLENT_NEGTWEETS,TENT_NEGTWEETS,REPELLENT,TENT
Fussa,NA,Japan,F,39,Unspecified,Hospitality,6,1,FALSE,TRUE
Anyang,NA,Korea,F,37,Married,Retail,7,1,FALSE,TRUE
Basel,NA,Switzerland,F,24,Single,Other,7,2,FALSE,TRUE
Khabarovsk,NA,Russia,F,34,Married,Professional,2,7,TRUE,FALSE
New Delhi,DL,India,F,22,Married,Other,2,5,TRUE,FALSE
Loughton,NA,United Kingdom,M,20,Single,Executive,8,0,FALSE,TRUE
Playa del Carmen,NA,Mexico,M,44,Married,Executive,7,3,FALSE,TRUE
Granada,NA,Spain,M,22,Single,Professional,7,1,FALSE,TRUE
Burnaby,BC,Canada,M,33,Single,Professional,6,2,FALSE,TRUE
Basel,NA,Switzerland,F,48,Married,Other,2,0,FALSE,TRUE
Niquelândia,BR-GO,Brazil,M,30,Single,Student,4,1,FALSE,TRUE
Beijing,NA,China,M,28,Single,Other,8,0,FALSE,TRUE
Chennai,NA,India,M,31,Married,Sales,6,4,FALSE,TRUE
Guarulhos,BR-SP,Brazil,F,41,Married,Executive,0,6,TRUE,FALSE
Nässjö,NA,Sweden,M,31,Married,Trades,5,2,FALSE,TRUE
Victoria,NA,Mexico,F,30,Married,Executive,9,1,FALSE,TRUE
Augsburg,NA,Germany,F,44,Unspecified,Hospitality,6,1,FALSE,TRUE
Viborg,NA,Denmark,F,21,Single,Other,2,5,TRUE,FALSE
Guangzhou,NA,China,F,26,Married,Other,3,2,TRUE,TRUE
Komae,NA,Japan,F,59,Married,Retired,9,2,FALSE,TRUE
Brisbane,Qld,Australia,M,28,Single,Professional,5,2,FALSE,TRUE
Coventry,NA,United Kingdom,F,30,Married,Executive,2,7,TRUE,FALSE
Guangzhou,NA,China,M,37,Married,Sales,8,3,FALSE,TRUE
Las Vegas,NV,United States,F,45,Married,Hospitality,4,1,FALSE,TRUE
Timóteo,BR-MG,Brazil,M,39,Married,Other,6,2,FALSE,TRUE
Perth,WA,Australia,M,28,Single,Professional,9,2,FALSE,TRUE
Melbourne,Vic,Australia,F,30,Single,Retail,1,1,TRUE,TRUE
Cangzhou,NA,China,M,23,Single,Other,12,1,FALSE,TRUE
Maanshan,NA,China,F,48,Married,Executive,6,3,FALSE,TRUE
Shijiazhuang,NA,China,M,27,Single,Trades,6,3,FALSE,TRUE
Oakland,CA,United States,F,35,Married,Other,1,2,TRUE,TRUE
Eastbourne,NA,United Kingdom,F,48,Married,Executive,6,2,FALSE,TRUE
Patna,NA,India,F,37,Single,Retail,0,5,TRUE,FALSE
Sendai,NA,Japan,M,44,Married,Executive,6,1,FALSE,TRUE
Ecatepec,NA,Mexico,M,24,Single,Sales,5,4,FALSE,TRUE
Bregenz,NA,Austria,M,30,Single,Professional,2,0,TRUE,TRUE
Apeldoorn,NA,Netherlands,M,30,Single,Trades,9,2,FALSE,TRUE
Brasília,BR-DF,Brazil,F,40,Married,Executive,8,0,FALSE,TRUE
Toulouse,NA,France,F,32,Married,Other,1,7,TRUE,FALSE
